university_name,location,course_url,course_or_degree_name,degree_program,ucas_tariff,ucas_tariff_link,ucas_relevant_qualification,a_levels_overall,mandatory_subject_of_a_levels,a_levels_mandatory_minimum_grades,o_levels_overall,mandatory_subject_of_o_levels,o_levels_mandatory_minimum_grades,btec_or_cambridge_technical,btec,btec_extended_diploma,btec_national_diploma,btec_national_extended_diploma,apprenticeship,access_to_higher_educational_diploma,IB_or_international_baccalaureate_points,points_required_from_higher_level_IB_subjects,portfolio_submission,gcse_overall,mandatory_subject_of_gcse,gcse_mandatory_minimum_grades,t_level,t_level_main_subject_grades,t_level_main_subject,t_level_core_subject_grade,bachelors_degree,relevant_work_experience,eligibility_for_SQE,additional_requirements_for_non_UK_degree,cache_technical_level_3,scottish_irish_leaving_certificate,nvq_level,foundation_diploma,ual_extended_diploma,ptlls_or_city_and_guilds,schooling_duration,accreditation_of_prior_experiential_learning_or_APEL,higher_national_diploma_or_HND,higher_national_certificate_or_HNC,foundation_degree,certificate_of_higher_education_or_CertHE,professional_registration,masters_degree,research,recognised_international_foundation_course,year_1_bachelor’s_degree,auditions,interview,ielts,ielts_individual_component,ol_english,al_english,duolingo_overall,duolingo_individual_component,a_UK_bachelors_degree_as_proof_of_english_proficiency,a_bachelors_degree_completed_in_the_english_medium_as_proof_of_english_proficiency,toefl,pte,additional_requirements,url,source_file
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/bakery-level-2-level-3,bakery-level-2-level-3,Bachelor's,None,None,"UCAS Relevant Qualification: ""4 GCSEs at grade 3/D or above, or equivalent.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"4 GCSEs at grade 3/D or above, or equivalent.",None,None,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Entry Level 3 in English (Language or Literature) and maths are desirable for entrance. Admissions will be administered on an individual application basis. Supporting documents required: School applicants will be required to provide a good school report, which must include attendance. This will be assessed in conjunction with your qualifications and application during the confirmation of your place at University College Birmingham. If you are a school leaver (over 19), you will be required to provide a reference from a previous education provider or employer in support of your application.",https://www.ucb.ac.uk/study/courses/college/bakery-level-2-level-3/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/postgraduate/dietetics-msc/,dietetics,Master's,None,None,Honours degree (2:2 or above) in a health or science related subject,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,C/grade 4 or above,English and Mathematics,C or 4,None,None,None,None,Second Lower,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,HCPC,None,None,None,None,None,None,7.0,6.5,None,None,None,None,Accepted,Accepted,None,None,"Pre-course Day: ""Must attend a Pre-course Day event (online or face-to-face) or shadowing a dietitian for a day.""
Occupational Health Screening: ""All applicants will be required to undertake occupational health screening to determine their suitability to undertake the course.""
Immunisations: ""All applicants will be required to undertake a programme of immunisations as required by the Department of Health and meet the immunisation and immunity requirements of placement providers.""",https://www.ucb.ac.uk/study/courses/postgraduate/dietetics-msc/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/hair-and-media-make-up-level-2,hair-and-media-make-up-level-2,Foundation,None,None,UCAS Relevant Qualification: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"4 GCSEs at grade 3 (grade D) or above, or equivalent.","English, Maths",4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Additional Requirements: None,https://www.ucb.ac.uk/study/courses/college/hair-and-media-make-up-level-2/,ucb.xlsx
University College Birmingham,Birmingham,https://www.bcu.ac.uk/courses/cyber-security-bsc-hons-top-up,cyber-security-bsc-hons-top-up,Bachelor's,None,None,"UCAS Relevant Qualification: A relevant HND or a foundation degree in the area of computer science, with 240 credits.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Entry requirements: Academic: A relevant HND or a foundation degree in the area of computer science, with 240 credits. International students Academic: European and international qualifications studied in a relevant subject matter will also be considered. Applicants will need to have achieved 120 ECTS or equivalent (European Credit Transfer).",https://www.ucb.ac.uk/study/courses/top-up/cyber-security-bsc-hons-top-up/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/culinary-arts-management-ba-hons-top-up/,culinary-arts-management-ba-hons-top-up,Bachelor's,None,None,"UCAS Relevant Qualification: A relevant HND or a foundation degree in the areas of Culinary Skills, Culinary Arts or Culinary Management, with 240 credits.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Kick-Start Scheme: ""£300 per year for UK students""",https://www.ucb.ac.uk/study/courses/top-up/culinary-arts-management-ba-hons-top-up/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/english-literature-a-level,english-literature-a-level,A-level,56 UCAS points,None,"A combination of acceptable Level 3 qualifications such as A-levels, T Levels, or BTEC Diplomas.",Required,"English Literature or Language, Maths",5,None,None,None,None,None,None,None,None,None,None,None,None,None,5 GCSE subjects at grade 5 or higher,"English Literature, English Language, Maths",5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/sixth-form/english-literature-a-level/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/mental-health-nursing-bsc-hons,mental-health-nursing,Bachelor's,112,None,"UCAS Relevant Qualification: ""A-levels: Grade profile of BBC, T-levels: A T-level with an overall Merit grade, BTEC: Grade profile of DMM, Irish Leaving Certificate: Grade profile of two subjects at H2 and three subjects at H3.""",BBC,"English, Maths, Biology",C or 4,None,None,None,DMM,None,None,None,None,None,None,None,None,None,5C,"English, Maths, Biology",C or 4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Required,6.5,6.0,None,None,None,None,None,None,None,None,"Disclosure and Barring Service (DBS): ""Required""; Pre-course health and immunisation requirements: ""Completed""; Recognition of Prior Learning (RPL): ""Accepted"".",https://www.ucb.ac.uk/study/courses/undergraduate/mental-health-nursing-bsc-hons/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk,aesthetics-ba-hons,Bachelor's,None,None,Level 3 beauty therapy qualification,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Course cost: £500, A £100 deposit is required to secure your place on the course, and this will be deducted from the final cost, which must be paid 14 days in advance of the course taking place.",https://www.ucb.ac.uk/study/courses/short-courses/chemical-peels/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/hairdressing-level-2-level-3,hairdressing-level-2-level-3,Bachelor's,None,None,"UCAS Relevant Qualification: ""4 GCSEs at grade 3 (grade D) or above, or equivalent.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"4 GCSEs at grade 3 (grade D) or above, or equivalent.",English (Language or Literature) or Maths at grade 4,4,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Supporting documents required: ""School applicants will be required to provide a good school report, which must include attendance. This will be assessed in conjunction with your qualifications and application during the confirmation of your place at University College Birmingham. If you are a school leaver (over 19), you will be required to provide a reference from a previous education provider or employer in support of your application.""",https://www.ucb.ac.uk/study/courses/college/hairdressing-level-2-level-3/,ucb.xlsx
University College Birmingham,Birmingham,None,construction-multi-skills-level-1,Level 1,None,None,3 GCSE at grade 2 including maths or English (Language or Literature) with at least a grade 1 in the other subject.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3 GCSE at grade 2 including maths or English (Language or Literature) with at least a grade 1 in the other subject.,"Mathematics, English",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/college/construction-multi-skills-level-1/,ucb.xlsx
